ID	DirL1	DirL2	Fname	CFU/100ml	Eqv TLF (PMT)
LGW18	Lab Grade Water_Spectra	2021_8_6_CommercialLabGradeWater	HPLC grade Water_Qualigen_300s.txt	0.1	1.2
LGW19	Lab Grade Water_Spectra	2021_8_6_CommercialLabGradeWater	Distilled Water_Merck_300s.txt	0.1	2.7
LGW21	Lab Grade Water_Spectra	2021_7_29_LabGradeWater	MilliQ Water_300s.txt	0.1	0.9
LGW22	Lab Grade Water_Spectra	2021_7_29_LabGradeWater	PCR grade water_300s.txt	0.1	0.9
LGW23	Lab Grade Water_Spectra	2021_7_29_LabGradeWater	HPLC grade water_300s.txt	0.1	1.0
BW25	Bottled Water	2021.12.06_Bottled Water	AquaRius_Spectra_300s.txt	0.1	6.5
BW33	Bottled Water	2021_8_3_BottledWater	Rasuwa_Sample_7_300s.txt	0.1	1.3
BW34	Bottled Water	2021_8_3_BottledWater	AquaHundred_Sample_6_300s.txt	0.1	0.9
BW35	Bottled Water	2021_8_3_BottledWater	AquaAnna_Sample_3_300s.txt	0.1	1.9
BW36	Bottled Water	2021_8_3_BottledWater	AquaRius_Sample_4_300s.txt	0.1	6.5
BW37	Bottled Water	2021_8_3_BottledWater	AquaArticBlue_Sample_2_300s.txt	0.1	1.3
BW38	Bottled Water	2021_8_3_BottledWater	Aquafina_Sample_5_300s.txt	0.1	1.0
BW39	Bottled Water	2021_8_3_BottledWater	AquaParadise_Sample_8_300s.txt	0.1	0.9
BW40	Bottled Water	2021_8_3_BottledWater	GoodDay_Sample_1_300s.txt	0.1	0.6
BW41	Bottled Water	2021_8_3_BottledWater	PCR grade Water_300s.txt	0.1	0.9
BW42	Bottled Water	2021_8_3_BottledWater	Aaku_Sample_9_300s.txt	0.1	1.4
BW43	Bottled Water	2021.11.18_Bottled Water	VolcanDW_Spectra_300s.txt	0.1	0.9
BW44	Bottled Water	2021.11.18_Bottled Water	AquaHill_Spectra_300s.txt	0.1	0.7
BW45	Bottled Water	2021.11.18_Bottled Water	HamroPrasoditPani_Spectra_300s.txt	0.1	2.0
BW46	Bottled Water	2021.11.18_Bottled Water	AquaPure_Spectra_300s.txt	0.1	2.2
BW47	Bottled Water	2021.11.18_Bottled Water	AquaHimShikhar_Spectra_300s.txt	0.1	0.6
BW48	Bottled Water	2021.11.18_Bottled Water	YechuLa_Spectra_300s.txt	0.1	1.0
BW49	Bottled Water	2021.11.18_Bottled Water	AquaBlueLite_Spectra_300s.txt	0.1	0.4
BW51	Bottled Water	2021.11.16_BottledWater	Believe_Spectra_300s.txt	0.1	1.8
BW52	Bottled Water	2021.11.16_BottledWater	SangrillaSprings_Spectra_300s.txt	0.1	18.8
