wl hlf
177.811 365.484
178.065 -55.940
178.318 472.644
178.572 822.236
178.826 211.835
179.079 -141.557
179.333 431.058
179.587 792.682
179.840 852.312
180.094 264.950
180.347 361.596
180.601 702.249
180.855 260.909
181.108 82.577
181.362 716.251
181.616 782.933
181.869 124.622
182.123 -241.682
182.377 424.020
182.630 633.730
182.884 243.446
183.137 -4.831
183.391 429.898
183.645 1296.634
183.898 664.376
184.152 24.125
184.406 585.880
184.659 1041.642
184.913 397.409
185.167 121.183
185.420 352.962
185.674 1068.748
185.928 550.539
186.181 -23.664
186.435 475.139
186.688 824.948
186.942 403.762
187.196 -31.418
187.449 366.407
187.703 787.238
187.957 255.074
188.210 -79.085
188.464 230.761
188.718 1109.613
188.971 380.469
189.225 -150.669
189.479 366.197
189.732 567.068
189.986 210.944
190.239 -9.175
190.493 579.710
190.747 947.600
191.000 534.495
191.254 -15.607
191.508 797.297
191.761 1091.204
192.015 243.116
192.269 -68.969
192.522 578.951
192.776 746.875
193.030 375.803
193.283 76.735
193.537 687.670
193.790 765.610
194.044 99.553
194.298 -17.500
194.551 976.450
194.805 1475.403
195.059 440.361
195.312 -74.679
195.566 498.285
195.820 842.252
196.073 198.222
196.327 -56.804
196.581 552.172
196.834 1148.152
197.088 333.134
197.341 19.119
197.595 669.107
197.849 943.098
198.102 526.091
198.356 259.087
198.610 386.086
198.863 774.087
199.117 535.091
199.371 79.097
199.624 431.105
199.878 937.115
200.132 569.128
200.385 20.143
200.639 541.160
200.892 976.179
201.146 335.200
201.400 -21.777
201.653 530.247
201.907 940.274
202.161 379.302
202.414 -79.668
202.668 632.364
202.922 1002.397
203.175 464.432
203.429 86.468
203.683 916.505
203.936 1389.544
204.190 481.584
204.443 771.626
204.697 1351.668
204.951 1125.712
205.204 368.757
205.458 15.803
205.712 992.850
205.965 1340.898
206.219 502.946
206.473 81.996
206.726 562.046
206.980 1237.097
207.233 550.149
207.487 -65.798
207.741 574.254
207.994 989.308
208.248 601.362
208.502 232.416
208.755 827.471
209.009 1296.526
209.263 1063.582
209.516 325.637
209.770 703.693
210.024 1228.749
210.277 483.806
210.531 8.862
210.784 573.918
211.038 903.974
211.292 432.030
211.545 163.086
211.799 1087.142
212.053 1525.198
212.306 769.253
212.560 222.309
212.814 708.363
213.067 815.418
213.321 386.472
213.575 180.525
213.828 809.579
214.082 1585.631
214.335 790.683
214.589 165.734
214.843 743.785
215.096 1618.835
215.350 792.884
215.604 220.933
215.857 642.981
216.111 1123.027
216.365 499.073
216.618 29.118
216.872 622.162
217.126 1107.206
217.379 693.248
217.633 188.289
217.886 543.328
218.140 1081.367
218.394 563.405
218.647 133.441
218.901 735.476
219.155 991.510
219.408 442.542
219.662 193.574
219.916 539.603
220.169 1005.632
220.423 588.659
220.677 164.684
220.930 640.708
221.184 1030.730
221.437 481.751
221.691 51.770
221.945 749.788
222.198 1287.804
222.452 678.818
222.706 325.831
222.959 742.841
223.213 1028.850
223.467 437.857
223.720 172.863
223.974 663.866
224.228 998.868
224.481 634.867
224.735 305.865
224.988 815.861
225.242 1525.855
225.496 789.846
225.749 797.836
226.003 1115.824
226.257 1150.809
226.510 542.792
226.764 739.774
227.018 1146.753
227.271 1181.729
227.525 581.704
227.779 251.676
228.032 763.646
228.286 1387.614
228.539 720.579
228.793 251.543
229.047 793.503
229.300 1668.462
229.554 1295.418
229.808 467.371
230.061 1004.322
230.315 1401.271
230.569 722.217
230.822 282.160
231.076 929.101
231.330 1205.040
231.583 566.976
231.837 306.909
232.090 868.840
232.344 1438.768
232.598 756.693
232.851 420.616
233.105 957.536
233.359 2046.454
233.612 1022.368
233.866 278.280
234.120 883.190
234.373 1628.096
234.627 731.000
234.880 294.900
235.134 977.798
235.388 1597.694
235.641 836.586
235.895 177.475
236.149 666.362
236.402 1143.246
236.656 645.126
236.910 198.004
237.163 990.879
237.417 1404.751
237.671 689.620
237.924 252.486
238.178 825.349
238.431 1204.209
238.685 581.066
238.939 294.920
239.192 772.771
239.446 1549.619
239.700 774.464
239.953 166.305
240.207 944.144
240.461 1182.979
240.714 578.812
240.968 257.641
241.222 1057.467
241.475 966.290
241.729 400.110
241.982 261.927
242.236 1112.740
242.490 1498.550
242.743 769.357
242.997 1177.161
243.251 1268.962
243.504 1264.759
243.758 666.554
244.012 313.344
244.265 1510.132
244.519 1650.917
244.773 676.698
245.026 272.476
245.280 763.250
245.533 1291.022
245.787 848.790
246.041 433.554
246.294 1095.316
246.548 1357.074
246.802 683.829
247.055 365.580
247.309 1186.328
247.563 937.073
247.816 364.814
248.070 371.552
248.324 1354.287
248.577 1591.018
248.831 707.746
249.084 255.471
249.338 672.192
249.592 1346.910
249.845 828.624
250.099 642.335
250.353 1276.042
250.606 1403.747
250.860 789.447
251.114 385.145
251.367 1100.838
251.621 1429.529
251.875 785.216
252.128 893.900
252.382 1336.580
252.635 1369.256
252.889 782.930
253.143 349.600
253.396 840.266
253.650 1243.929
253.904 695.588
254.159 392.244
254.413 1052.897
254.667 1610.546
254.922 1208.192
255.176 1121.834
255.431 1251.473
255.685 1053.108
255.939 628.740
256.194 303.368
256.448 1093.993
256.702 1531.614
256.957 779.232
257.211 520.846
257.465 1140.457
257.720 2262.065
257.974 1339.669
258.228 645.269
258.483 1130.866
258.737 1328.460
258.992 755.050
259.246 333.636
259.500 737.219
259.755 1396.799
260.009 839.375
260.263 503.947
260.518 1132.517
260.772 1254.082
261.026 742.644
261.281 432.203
261.535 1094.758
261.789 1455.310
262.044 791.858
262.298 592.403
262.553 1104.944
262.807 1388.482
263.061 708.016
263.316 394.547
263.570 1196.075
263.824 1380.599
264.079 760.119
264.333 418.636
264.587 1128.150
264.842 2110.660
265.096 1181.166
265.351 988.670
265.605 1135.169
265.859 1384.665
266.114 779.158
266.368 388.648
266.622 943.134
266.877 1175.616
267.131 776.095
267.385 698.571
267.640 1147.043
267.894 1446.511
268.148 842.977
268.403 432.438
268.657 879.897
268.912 1507.352
269.166 849.803
269.420 529.252
269.675 1153.696
269.929 1292.138
270.183 786.575
270.438 567.010
270.692 1396.441
270.946 1337.869
271.201 1400.293
271.455 1031.714
271.709 1220.132
271.964 1651.546
272.218 800.956
272.473 351.364
272.727 1043.768
272.981 1450.169
273.236 886.566
273.490 502.960
273.744 737.350
273.999 1279.738
274.253 765.121
274.507 429.502
274.762 1077.879
275.016 1531.253
275.271 1000.624
275.525 613.991
275.779 921.355
276.034 1321.715
276.288 870.072
276.542 568.426
276.797 1217.777
277.051 1512.124
277.305 1254.468
277.560 815.809
277.814 1226.147
278.068 1380.481
278.323 865.812
278.577 687.140
278.832 1362.464
279.086 1606.785
279.340 1289.103
279.595 713.418
279.849 1183.729
280.103 1533.037
280.358 1073.342
280.612 655.644
280.866 1157.942
281.121 1442.237
281.375 815.529
281.629 528.818
281.884 1274.104
282.138 1756.386
282.393 904.665
282.647 524.942
282.901 1171.214
283.156 1534.484
283.410 1111.751
283.664 648.014
283.919 1194.274
284.173 1600.531
284.427 980.785
284.682 589.036
284.936 1067.283
285.191 1525.528
285.445 947.769
285.699 538.008
285.954 1125.243
286.208 1583.475
286.462 989.704
286.717 504.930
286.971 1352.152
287.225 1987.372
287.480 1088.588
287.734 472.802
287.988 1169.012
288.243 1750.220
288.497 953.424
288.752 554.625
289.006 1380.824
289.260 1469.019
289.515 796.211
289.769 547.400
290.023 1255.586
290.278 1478.769
290.532 987.950
290.786 498.127
291.041 1191.301
291.295 1583.472
291.549 905.640
291.804 614.805
292.058 1242.968
292.313 1687.127
292.567 1052.283
292.821 683.436
293.076 1336.587
293.330 1743.734
293.584 1482.879
293.839 872.020
294.093 970.159
294.347 1547.295
294.602 1019.428
294.856 584.558
295.111 857.685
295.365 1360.809
295.619 907.930
295.874 613.049
296.128 1197.164
296.382 1509.277
296.637 1050.387
296.891 604.494
297.145 1273.598
297.400 2291.700
297.654 1372.798
297.908 557.894
298.163 1073.987
298.417 1616.077
298.672 1011.164
298.926 652.248
299.180 1279.330
299.435 1604.409
299.689 837.485
299.943 432.558
300.198 1098.629
300.452 1617.697
300.706 1013.762
300.961 822.824
301.215 1315.884
301.469 1719.940
301.724 1083.994
301.978 731.046
302.233 1320.095
302.487 1799.141
302.741 1170.184
302.996 669.224
303.250 1246.262
303.504 1886.297
303.759 1155.330
304.013 750.360
304.267 1629.387
304.522 1801.412
304.776 973.433
305.031 497.453
305.285 1113.469
305.539 1503.483
305.794 947.495
306.048 670.503
306.302 1446.510
306.557 1604.513
306.811 1040.514
307.065 731.512
307.320 1205.508
307.574 1399.501
307.828 994.492
308.083 770.480
308.337 1188.465
308.592 1678.448
308.846 1212.429
309.100 719.406
309.355 1247.382
309.609 1541.355
309.863 1020.325
310.118 577.293
310.372 1184.258
310.626 1582.221
310.881 1101.181
311.135 831.139
311.389 1442.094
311.644 1762.047
311.898 1005.997
312.153 722.945
312.407 1484.890
312.661 1683.833
312.916 1012.774
313.170 622.712
313.429 1060.647
313.688 1506.580
313.947 1050.511
314.206 642.440
314.465 1260.366
314.724 1511.289
314.983 902.210
315.242 729.129
315.501 1129.046
315.760 1399.960
316.019 1091.871
316.278 708.781
316.536 1186.687
316.795 1602.592
317.054 1008.494
317.313 1540.394
317.572 1798.292
317.831 1607.187
318.090 1052.080
318.349 790.971
318.608 1679.859
318.867 1937.745
319.126 1452.629
319.385 944.510
319.644 1607.389
319.903 1783.266
320.162 1044.141
320.421 675.013
320.680 1268.883
320.939 1859.751
321.198 1217.616
321.457 738.480
321.716 1272.341
321.975 1833.200
322.234 1363.056
322.493 931.911
322.752 1498.763
323.010 1982.613
323.269 1458.461
323.528 930.306
323.787 1348.150
324.046 1183.991
324.305 905.830
324.564 838.667
324.823 1272.502
325.082 1420.334
325.341 982.165
325.600 792.993
325.859 1385.819
326.118 1532.643
326.377 1055.465
326.636 804.285
326.895 1901.103
327.154 2172.918
327.413 1187.732
327.672 763.543
327.931 1787.352
328.190 2178.159
328.449 1620.964
328.708 998.767
328.967 1448.568
329.226 1788.367
329.485 1524.164
329.743 1556.959
330.002 2363.752
330.261 2198.542
330.520 1282.331
330.779 902.118
331.038 1335.902
331.297 1478.685
331.556 986.465
331.815 722.244
332.074 1262.020
332.333 1811.795
332.592 1226.567
332.851 789.338
333.110 1289.107
333.369 1657.873
333.628 1048.638
333.887 1249.401
334.146 1700.161
334.405 2117.920
334.664 1450.677
334.923 773.432
335.182 1499.185
335.441 1760.936
335.700 1265.685
335.959 971.432
336.217 1421.177
336.476 1872.921
336.735 1334.662
336.994 934.402
337.253 1484.139
337.512 1787.875
337.771 1401.609
338.030 1088.341
338.289 1834.071
338.548 1856.800
338.807 1112.526
339.066 949.251
339.325 1375.973
339.584 1707.694
339.843 1177.413
340.102 832.130
340.361 1090.846
340.620 1738.559
340.879 1534.271
341.138 1105.981
341.397 1422.689
341.656 1523.395
341.915 1124.100
342.174 1416.803
342.433 1414.504
342.691 1700.203
342.950 1283.900
343.209 817.596
343.468 1693.289
343.727 1841.982
343.986 1144.672
344.245 870.360
344.504 1776.047
344.763 2189.732
345.022 1250.416
345.281 840.097
345.540 1563.777
345.799 1862.455
346.058 1364.132
346.317 1048.806
346.576 1827.479
346.835 1795.151
347.094 1060.820
347.353 760.488
347.612 1315.154
347.871 2001.819
348.130 1593.482
348.389 1100.143
348.648 1724.802
348.907 1859.460
349.166 1125.116
349.424 798.771
349.683 1103.424
349.942 1840.075
350.201 1564.725
350.460 1409.373
350.719 1845.019
350.978 1900.664
351.237 1289.307
351.496 908.948
351.755 1668.588
352.014 2057.226
352.273 1209.863
352.532 960.498
352.791 1976.131
353.050 2025.763
353.309 1177.393
353.568 837.022
353.827 1413.649
354.086 2124.275
354.345 2050.899
354.604 1368.521
354.863 1935.142
355.122 2387.761
355.381 2026.379
355.640 1444.995
355.898 2603.610
356.157 3343.223
356.416 2180.835
356.675 2054.445
356.934 2234.053
357.193 2634.660
357.452 2356.266
357.711 1951.870
357.970 2536.472
358.229 2507.073
358.488 2241.673
358.747 1421.271
359.006 1938.867
359.265 2907.462
359.524 1924.056
359.783 1594.648
360.042 1820.239
360.301 2821.828
360.560 2107.416
360.819 1878.002
361.078 2067.587
361.337 2579.170
361.596 2331.752
361.855 1842.332
362.114 2663.911
362.372 3050.489
362.631 1982.065
362.890 1910.640
363.149 2574.213
363.408 3165.785
363.667 2553.355
363.926 2074.924
364.185 2570.492
364.444 3051.058
364.703 2271.623
364.962 2352.187
365.221 3414.749
365.480 3444.309
365.739 2896.869
365.999 2673.427
366.258 2894.983
366.518 2940.538
366.777 2456.092
367.037 2641.645
367.296 3124.196
367.556 3403.746
367.815 3078.294
368.075 2782.841
368.334 3129.387
368.594 3400.931
368.853 3013.474
369.113 2647.016
369.372 3215.556
369.632 3489.095
