Wavelength (nm),500ppb_500ms
196.85,13.50
196.98,16.52
197.10,9.54
197.23,6.56
197.36,25.58
197.48,21.60
197.61,12.63
197.74,8.65
197.87,15.67
197.99,16.69
198.12,21.71
198.25,16.73
198.38,17.76
198.50,18.78
198.63,17.80
198.76,16.82
198.89,9.84
199.01,13.87
199.14,21.89
199.27,16.91
199.40,21.93
199.52,18.96
199.65,13.98
199.78,17.00
199.91,26.03
200.03,16.05
200.16,5.07
200.29,5.10
200.42,12.12
200.54,12.14
200.67,6.17
200.80,12.19
200.93,23.21
201.05,26.24
201.18,24.26
201.31,12.28
201.44,11.31
201.56,22.33
201.69,19.36
201.82,3.38
201.95,6.40
202.07,13.43
202.20,9.45
202.33,4.48
202.46,15.50
202.58,19.53
202.71,17.55
202.84,13.58
202.97,21.60
203.09,19.63
203.22,15.65
203.35,16.68
203.48,18.70
203.61,23.73
203.73,29.75
203.86,3.78
203.99,2.80
204.12,12.83
204.24,1.85
204.37,2.88
204.50,13.90
204.63,15.93
204.75,13.95
204.88,22.98
205.01,28.01
205.14,20.03
205.27,11.06
205.39,9.08
205.52,10.11
205.65,7.13
205.78,12.16
205.90,12.19
206.03,22.21
206.16,15.24
206.29,7.26
206.42,-5.71
206.54,-1.68
206.67,22.34
206.80,27.37
206.93,10.40
207.06,10.42
207.18,17.45
207.31,17.47
207.44,16.50
207.57,7.53
207.69,11.55
207.82,18.58
207.95,17.61
208.08,15.63
208.21,9.66
208.33,13.69
208.46,14.71
208.59,13.74
208.72,7.77
208.85,8.79
208.97,13.82
209.10,25.85
209.23,23.87
209.36,17.90
209.49,14.93
209.61,10.95
209.74,11.98
209.87,15.01
210.00,17.03
210.13,19.06
210.25,18.09
210.38,20.12
210.51,7.14
210.64,8.17
210.77,19.20
210.89,18.22
211.02,8.25
211.15,8.28
211.28,18.30
211.41,21.33
211.54,20.36
211.66,23.39
211.79,23.41
211.92,21.44
212.05,16.47
212.18,13.49
212.30,9.52
212.43,9.55
212.56,15.58
212.69,14.60
212.82,16.63
212.95,15.66
213.07,19.68
213.20,21.71
213.33,15.74
213.46,18.77
213.59,13.79
213.71,9.82
213.84,10.85
213.97,9.87
214.10,9.90
214.23,15.93
214.36,16.96
214.48,19.98
214.61,17.01
214.74,17.04
214.87,9.06
215.00,12.09
215.13,22.12
215.25,20.15
215.38,11.17
215.51,18.20
215.64,21.23
215.77,13.25
215.90,11.28
216.02,22.31
216.15,25.34
216.28,18.36
216.41,14.39
216.54,14.42
216.67,13.44
216.79,18.47
216.92,11.50
217.05,10.52
217.18,15.55
217.31,18.58
217.44,20.60
217.57,18.63
217.69,15.66
217.82,13.69
217.95,12.71
218.08,3.74
218.21,-1.24
218.34,11.79
218.46,17.82
218.59,11.85
218.72,12.87
218.85,23.90
218.98,25.93
219.11,17.95
219.24,16.98
219.36,15.01
219.49,15.03
219.62,25.06
219.75,24.09
219.88,16.11
220.01,13.14
220.14,23.16
220.26,23.19
220.39,13.22
220.52,16.24
220.65,23.27
220.78,15.30
220.91,19.32
221.04,14.35
221.17,15.38
221.29,12.40
221.42,17.43
221.55,18.45
221.68,19.48
221.81,20.51
221.94,20.53
222.07,13.56
222.19,8.58
222.32,17.61
222.45,15.64
222.58,11.66
222.71,23.69
222.84,20.71
222.97,21.74
223.10,20.77
223.22,14.79
223.35,11.82
223.48,15.84
223.61,8.87
223.74,12.89
223.87,9.92
224.00,12.95
224.13,13.97
224.26,14.00
224.38,14.02
224.51,12.05
224.64,16.07
224.77,15.10
224.90,6.12
225.03,13.15
225.16,11.17
225.29,20.20
225.42,11.22
225.54,11.25
225.67,19.27
225.80,13.30
225.93,12.32
226.06,19.35
226.19,13.37
226.32,12.40
226.45,19.42
226.58,17.45
226.70,13.47
226.83,10.50
226.96,9.52
227.09,14.55
227.22,16.57
227.35,19.60
227.48,17.62
227.61,20.65
227.74,20.67
227.87,19.70
227.99,9.72
228.12,12.74
